site_no,min_date,max_date,lam1Obs,tau2Obs,tau3Obs,tau4Obs,ar1Obs,amplitudeObs,phaseObs,med_flowObs,cv_flowObs,cv_dailyObs,flow_10Obs,flow_25Obs,flow_50Obs,flow_75Obs,flow_90Obs,flow_15Obs,ma1_mean_disc,ma2_median_disc,ma3_mean_annual_var,ma4,ma5_skew,ma6,ma7,ma8,ma9,ma10,ma11,ma12_jan_mean,ma13_feb_mean,ma14_mar_mean,ma15_apr_mean,ma16_may_mean,ma17_june_mean,ma18_july_mean,ma19_aug_mean,ma20_sep_mean,ma21_oct_mean,ma22_nov_mean,ma23_dec_mean,ma24_jan_var,ma25_feb_var,ma26_mar_var,ma27_apr_var,ma28_may_var,ma29_jun_var,ma30_july_var,ma31_aug_var,ma32_sep_var,ma33_oct_var,ma34_nov_var,ma35_dec_var,ma36,ma37_var_across_months,ma38,ma39_monthly_std_dev,ma40_monthly_skewness,ma41,ma42,ma43,ma44,ma45,ml1,ml2,ml3,ml4,ml5,ml6,ml7,ml8,ml9,ml10,ml11,ml12,ml13_min_monthly_var,ml14_min_annual_flow,ml15,ml16,ml17,ml18,ml19,ml20,ml21,ml22,mh1,mh2,mh3,mh4,mh5,mh6,mh7,mh8,mh9,mh10,mh11,mh12,mh13,mh14_med_annual_max,mh15,mh16_high_flow_index,mh17,mh18,mh19,mh20,mh21,mh22,mh23,mh24,mh25,mh26_high_peak_flow,mh27,fl1_low_flood_pulse,fl2_low_pulse_var,fl3,fh1_high_pulse_count,fh2_high_pulse_var,fh3_high_pulse_count_three,fh4_high_pulse_count_seven,fh5,fh6,fh7,fh8,fh9,fh10,fh11,dl1_min_daily_flow,dl2_min_3_day_avg,dl3,dl4_min_30_day_avg,dl5_min_90_day_avg,dl6_min_flow_var,dl7,dl8,dl9_min_30_day_var,dl10_min_90_day_var,dl11,dl12,dl13,dl14,dl15,dl16,dl17,dl18_zero_flow_days,dl19,dl20,dh1,dh2,dh3,dh4,dh5_max_90_day_avg,dh6,dh7,dh8,dh9,dh10_max_90_day_var,dh11,dh12,dh13,dh14,dh15,dh16,dh17,dh18,dh19,dh20,dh21,dh22,dh23,dh24,ta1,ta2,ta3,tl1_min_flow_julian_day,tl2_min_julian_var,tl3,tl4,th1_max_flow_julian_day,th2_max_julian_var,th3,ra1_rise_rate,ra2_rise_rate_var,ra3_fall_rate,ra4_fall_rate_var,ra5,ra6,ra7,ra8,ra9,comment
CF001,10/1/88,9/30/14,1.42,0.47,0.38,0.26,0.11,0.11,-0.93,1.45,0.32,1.19,0.23465,0.521775,1.03,1.773,2.8705,0.324925,1.42,1.03,107.87,76.4,1.38,12.25,4.78,3.4,2.56,1.54,1.21,1.49,1.67,1.96,1.62,1.18,1.19,1.16,1.3,1.69,1.36,1.19,1.21,56,61,64,63,76,93,90,95,98,94,84,75,5.32,0.96,1.87,70.05,0.2,0.02,1.37,0.32,0.85,-0.02,0.77,0.95,1.08,0.85,0.49,0.4,0.47,0.6,0.62,0.6,0.53,0.62,90.07,0.08,0.06,0.07,0.1,73.57,6.36,0.61,86.48,0,4.66,5.12,7.2,5.66,4.98,5.6,4.37,4.88,8.69,7.01,4.97,4.71,95.61,14.7,7.02,2.79,1.72,20.94,0.04,0.19,11.52,4.5,5.45,3.35,6.05,12.1,4.17,13.65,49.76,10.08,21.69,26.39,30.77,3.65,20.08,13.92,3.31,21.69,14.19,3.23,0.42,0.09,0.11,0.14,0.33,0.62,88.42,77.7,73.63,65.95,50.74,0.09,0.14,0.32,0.51,0.23,6.83,32.2,0,0,0,17.48,9.13,5.58,3.41,2.32,58.56,49.97,41.34,38.02,37,16.97,5.42,3.31,2.49,3.53,71.93,10.97,2.02,1.1,4.58,36.89,70,2,198.5,0.28,38.47,0.36,220.02,61.85,0.18,0.01,223.24,75.5,0.22,1.06,222.86,0.37,312.4,0.26,0.3,0.09,129.85,6.8,
CF002,10/1/88,9/30/14,2,0.53,0.58,0.45,0.14,0.13,-1.42,1.95,0.27,1.84,0.45955,0.699925,1.144,1.95425,3.6915,0.5325,2,1.14,168.42,87.38,1.75,8.04,3.73,2.79,2.84,1.46,1.1,1.75,1.76,2.12,1.62,1.4,1.6,2,2.48,3.42,2.26,1.99,1.59,88,85,110,97,110,108,118,111,111,94,108,80,7.28,0.85,1.75,72.63,0.24,0.02,1.06,0.4,0.72,0.02,0.85,0.93,0.87,0.75,0.5,0.45,0.62,0.91,1.09,1.08,0.89,0.79,67.41,0.21,0.13,0.21,0.16,47.85,12.88,0.47,60.04,0,8.67,8.03,12.81,8.72,8.98,7.74,12.13,15.55,21.79,14.46,12.53,7.55,108.68,29.01,14.72,3.24,1.71,14.1,0.25,0.38,16.21,9.66,11.35,5.56,8.89,15.19,6.77,13.27,46.04,2.5,23.15,19.26,40.23,12.19,22.08,18.54,8.08,23.15,14,2.65,0.58,0.26,0.28,0.32,0.56,0.9,59,57.75,55.32,45.31,35.42,0.23,0.28,0.49,0.61,0.4,6.74,39.17,0,0,0,38.64,23.38,13.14,5.38,3.28,53.65,67.03,69.51,43,35.05,33.78,11.49,4.7,2.53,2.85,61.34,9.35,2.11,1.55,4.15,36.61,76,2.15,253.8,0.22,31.82,0.53,147.29,62.79,0.19,0.01,227.57,65.55,0.41,2.52,229.06,0.67,338.41,0.21,0.38,0.09,113.38,9.99,
CF003,10/1/88,9/30/14,0.44,0.45,0.37,0.28,0.08,0.1,-0.17,0.43,0.31,1.24,0.09156,0.179875,0.3392,0.5492,0.8349,0.1212,0.44,0.34,110.66,68.85,1.29,9.13,4.1,3.05,2.19,1.36,1.09,0.48,0.5,0.58,0.45,0.36,0.36,0.32,0.4,0.56,0.48,0.41,0.42,50,51,58,64,68,78,83,91,94,89,63,69,5.46,0.87,1.81,66.26,0.14,0.02,1.39,0.45,0.86,0.02,0.26,0.3,0.32,0.07,0.16,0.14,0.13,0.17,0.21,0.22,0.21,0.22,88.4,0.02,0.02,0,0.11,80.5,1.66,0.6,357.59,0,1.43,1.43,2.01,1.57,1.49,1.72,1.2,1.76,3.02,2.48,1.45,1.55,109.45,14.09,6.7,2.46,1.62,41.21,0.04,0.23,11.11,4.49,6.33,3.46,6.68,13.14,4.22,13.5,49.41,9.54,19.27,22.81,21.15,3.27,18.27,11.42,2.96,19.27,14,2.38,0.46,0.01,0.04,0.05,0.12,0.2,292.2,94.87,82.8,64.26,52.64,0.03,0.15,0.35,0.53,0.27,6.29,40.76,0,0,0,5.83,2.76,1.71,1.04,0.69,64.09,53.93,43.59,38.12,34.28,17.19,5.04,3.07,2.31,3.99,60.88,12.73,1.69,1.08,4.76,30.44,69.75,2,214.5,0.71,71.43,0.42,122.85,46.36,0.18,0.01,273.07,73.06,0.37,0.33,259.92,0.11,395.69,0.25,0.27,0.09,122.96,8.03,
CF004,10/1/88,9/30/14,0.61,0.45,0.35,0.26,0.09,0.11,-0.27,0.6,0.33,1.24,0.1174,0.239875,0.4719,0.77065,1.1605,0.157,0.61,0.47,107.99,69.59,1.3,9.89,4.36,3.21,2.22,1.41,1.13,0.67,0.71,0.81,0.64,0.49,0.48,0.44,0.55,0.77,0.65,0.55,0.56,47,47,52,56,64,76,78,85,89,86,60,67,5.65,0.95,1.92,69.56,0.16,0.02,1.47,0.47,0.93,0.02,0.38,0.43,0.47,0.24,0.22,0.18,0.2,0.25,0.31,0.31,0.29,0.31,85.8,0.1,0.08,0.1,0.11,63.62,8.01,0.65,82.72,0,1.86,1.95,2.65,2.04,1.91,2.29,1.56,2.29,4.09,3.21,1.87,1.99,117.04,13.29,6.28,2.47,1.64,36.37,0.03,0.22,12.35,4.72,6.76,3.42,6.73,13.58,4.26,12.69,53.15,7.73,17.08,25.39,21,3,16.42,10.19,2.69,17.08,13.19,3.35,0.46,0.05,0.06,0.07,0.16,0.26,84,75.17,74.35,69.26,57.8,0.11,0.15,0.34,0.51,0.25,7.36,40.19,0,0,0,8.04,3.74,2.32,1.45,0.97,67.11,56.92,45.15,39.13,35.88,17.04,4.92,3.07,2.37,4.2,65.89,13.79,1.83,1.1,5.39,40.41,75.21,2,228.7,0.71,71.89,0.42,210.86,61.5,0.18,0.01,287.2,71,0.22,0.4,292.25,0.13,469.07,0.25,0.23,0.07,125.77,7.62,
CF005,10/1/88,9/30/14,1.34,0.49,0.41,0.28,0.09,0.11,-0.69,1.34,0.32,1.29,0.217,0.472,0.9267,1.62025,2.7505,0.2995,1.34,0.93,117.11,79.32,1.44,12.69,4.86,3.43,2.73,1.6,1.24,1.47,1.59,1.82,1.49,1.04,1.13,1.1,1.15,1.58,1.3,1.17,1.21,62,66,69,76,84,110,99,105,117,103,92,86,5.04,0.89,1.84,67.76,0.2,0.02,1.45,0.39,0.82,0,0.72,0.85,0.94,0.71,0.4,0.32,0.38,0.46,0.46,0.51,0.48,0.56,90.92,0.07,0.05,0.06,0.09,68.65,5.48,0.55,76.32,0,4.93,5.25,6.97,5.97,4.58,6.41,4.4,4.93,9.32,7.41,5.17,5.26,94.5,16.38,7.85,2.96,1.74,19.69,0.27,0.22,10.64,4.47,5.75,3.63,6.2,12.34,4.58,15.19,51.29,10.23,24.08,20.88,35.38,5.04,23.81,17.62,4.23,24.08,15.62,2.88,0.5,0.07,0.09,0.13,0.34,0.61,80.96,69.47,62.96,64.96,48.38,0.08,0.14,0.37,0.51,0.23,5.82,33.25,0,0,0,18.09,9.15,5.47,3.2,2.14,57.43,47.99,39.56,38.05,37.51,19.52,5.9,3.45,2.46,3.27,68.06,9.87,1.92,1.15,3.99,34.66,53.06,2,185.6,0.34,43.81,0.38,223.46,61.53,0.17,0.01,215.01,77.14,0.25,1.17,212.37,0.4,314.59,0.26,0.4,0.12,128.46,5.54,
CF008,10/1/88,9/30/14,2.86,0.64,0.61,0.42,0.08,0.14,-0.2,2.47,0.55,2.34,0.3119,0.576675,1.1115,2.93925,6.4125,0.402525,2.86,1.11,204.56,114.37,2.58,20.57,7.66,5.1,5.5,2.94,2.13,3.91,4.23,4.28,2.66,1.54,1.82,1.76,2.04,3.7,3.25,2.51,2.75,105,99,97,99,105,115,116,148,173,153,112,120,9.6,1.8,3.73,104.27,0.72,0.01,2.46,0.84,1.88,0.16,1.51,1.79,1.59,0.97,0.49,0.55,0.59,0.73,0.68,0.84,0.89,0.94,135.08,0.11,0.06,0.1,0.09,60.07,5.71,0.45,72.9,0,20.25,19.7,22.66,14.91,8.53,13.42,10.1,14.62,41.76,27.36,16.39,16.91,143.48,50.8,23.92,5.78,2.65,15.08,-0.29,0.22,28.21,25.67,21.98,8.01,14.07,22.72,13.16,18.46,50.38,10.62,17.88,22.77,81.54,26.65,23.92,16.92,10.62,17.88,18.88,3.65,0.5,0.15,0.18,0.24,0.47,0.86,74.27,65.19,52.91,67.69,59.39,0.13,0.22,0.42,0.52,0.28,4.39,35.83,0,0,0,77.5,33.94,17.69,8.55,5.38,65.43,63.87,52.86,49.33,60.05,69.73,15.92,7.69,3.23,4.09,84.36,14.77,4.97,2.21,5.41,24.88,63.06,2,217.22,0.24,34.24,0.46,224.22,58.19,0.17,0.01,268.57,76.81,0.35,2.3,399.54,1.4,460.89,0.38,0.21,0.15,165.38,7.61,
CF009,10/1/88,9/30/14,0.38,0.72,0.7,0.5,0.08,0.12,-0.27,0.32,0.71,3,0.037325,0.053835,0.092785,0.288075,0.92335,0.04332,0.38,0.09,257.32,144.71,4.22,24.76,9.17,5.35,9.85,4.41,2.6,0.54,0.63,0.58,0.35,0.2,0.24,0.23,0.27,0.49,0.43,0.32,0.34,148,127,130,122,119,120,113,167,188,173,134,152,18.38,2.63,5.7,128.68,1.39,0.01,3.11,0.84,2.58,0.21,0.16,0.24,0.15,0.12,0.05,0.08,0.08,0.09,0.06,0.08,0.1,0.11,187.88,0.23,0.09,0.22,0.11,59.34,8.58,0.39,43.47,0,3.5,3.23,3.75,2.25,1.2,1.83,1.38,2.52,6.86,4.19,2.53,2.55,162.49,108.61,46.72,10.27,3.2,27.3,-0.21,0.2,45.86,55.14,57.95,12.36,23.96,36.09,24.53,19.77,63.91,7.04,18.31,25.79,94.19,56.31,28,18.65,12.62,18.31,20.23,3.92,0.58,0.03,0.03,0.03,0.05,0.09,36.89,38.53,40.88,51.22,59.88,0.32,0.32,0.54,0.58,0.4,4.27,32.53,0,0,0,13.4,5.61,2.78,1.26,0.78,69.98,72.14,63.71,61.63,75.49,144.42,29.96,13.58,3.93,3.56,92.82,11.2,5.46,3.91,5.38,32.77,54.08,2,188.33,0.74,74.4,0.47,262.42,60.36,0.18,0.01,313.09,76.23,0.41,0.32,474.26,0.23,523.36,0.42,0.16,0.13,176.54,6.77,
CF010,10/1/88,9/30/14,1.94,0.54,0.57,0.48,0.07,0.09,-0.51,1.96,0.32,1.98,0.3853,0.66605,1.188,1.90325,2.8995,0.4887,1.94,1.19,181.01,80.39,1.63,7.53,3.62,2.86,2.11,1.29,1.04,2.27,2.33,2.73,2.02,1.52,1.63,1.36,1.69,2.33,1.97,1.71,1.73,105,89,103,93,91,107,106,131,146,150,108,107,6.17,0.92,1.94,70.45,0.2,0.02,1.38,0.37,0.84,-0.01,1.08,1.3,1.32,1.01,0.65,0.57,0.59,0.68,0.64,0.67,0.72,0.85,69.95,0.16,0.1,0.15,0.14,61.82,10.23,0.54,89,0,13.52,11.54,16.15,11.65,9.15,10.47,8.08,13.99,20.95,17.93,11,10.82,108.45,28.55,14.98,2.44,1.6,13.72,0.09,0.38,19.06,8.81,10.21,7.01,10.32,16.22,7.88,11.58,43.72,6.12,21.31,22.98,27.5,11.04,16.65,18.65,9.35,21.31,11.77,2.92,0.62,0.2,0.23,0.27,0.48,0.84,89.66,82.24,74.02,66.8,54.13,0.17,0.23,0.4,0.56,0.32,7.12,55.01,0,0,0,42.14,18.93,9.99,4.88,3.14,52.09,50.38,49.28,39.09,36.69,35.47,8.41,4.11,2.45,3.71,70.06,18.9,1.44,1.17,4.49,38.81,60.54,2,248.7,0.21,31.77,0.56,241.36,55.53,0.18,0.01,267.71,73.34,0.43,1.6,332.93,0.99,381.98,0.38,0.07,0.07,148.69,7.22,
CF011,10/1/88,9/30/14,1.79,0.53,0.57,0.48,0.07,0.09,-0.54,1.81,0.32,1.98,0.35555,0.61335,1.099,1.765,2.686,0.4489,1.79,1.1,180.18,79.67,1.63,7.57,3.65,2.88,2.12,1.3,1.05,2.1,2.16,2.53,1.88,1.41,1.49,1.25,1.54,2.14,1.81,1.57,1.59,104,88,102,92,90,106,105,131,146,149,108,107,6.13,0.94,1.97,70.51,0.2,0.02,1.38,0.38,0.85,-0.01,1,1.21,1.23,0.95,0.61,0.53,0.54,0.62,0.58,0.62,0.66,0.78,70.22,0.16,0.1,0.14,0.14,61.87,10.12,0.54,89.13,0,12.44,10.68,14.85,10.75,8.44,9.52,7.29,12.74,19.2,16.38,10.07,9.92,108.8,28.5,14.93,2.44,1.6,14.01,0.11,0.38,18.96,8.8,10.33,6.94,10.31,16.32,7.81,11.15,42.03,6.12,21.12,23.41,27.31,10.88,16.65,18.5,9.15,21.12,11.42,2.92,0.62,0.18,0.21,0.25,0.44,0.78,90.74,82.26,72.52,67.45,53.87,0.16,0.23,0.4,0.56,0.32,7.43,54.54,0,0,0,38.71,17.41,9.18,4.49,2.89,52.21,50.55,49.61,39.03,36.82,35.22,8.35,4.09,2.46,3.66,70.88,18.55,1.44,1.17,4.54,39.09,60.54,2,248.7,0.23,33.81,0.56,246.6,51.57,0.18,0.01,267.71,73.34,0.43,1.46,334.97,0.91,382.25,0.38,0.07,0.07,146.69,7.46,
CF012,10/1/88,9/30/14,1.45,0.53,0.57,0.47,0.07,0.09,-0.57,1.47,0.32,1.95,0.28575,0.49775,0.8988,1.44725,2.199,0.36425,1.45,0.9,178.73,79.84,1.61,7.71,3.67,2.91,2.13,1.3,1.06,1.71,1.77,2.07,1.54,1.16,1.21,1,1.24,1.72,1.48,1.27,1.29,103,88,100,91,89,105,103,129,146,147,107,106,6.04,0.98,1.98,70.57,0.2,0.02,1.39,0.39,0.87,-0.01,0.82,0.99,1.01,0.79,0.5,0.43,0.43,0.5,0.47,0.5,0.54,0.64,70.66,0.15,0.1,0.14,0.13,63.07,9.88,0.55,91.38,0,10.01,8.7,11.92,8.7,6.86,7.54,5.69,10.12,15.36,13.06,8.09,7.95,108.55,27.88,14.63,2.45,1.61,14.75,0.17,0.37,18.75,8.85,10.09,6.78,10.28,16.06,7.75,10.88,42.65,6.54,20.85,23.72,27.46,10.88,16.69,18.12,9.12,20.85,11.15,2.92,0.65,0.15,0.17,0.2,0.35,0.63,88.43,82.5,73.34,69.37,54.62,0.17,0.22,0.39,0.55,0.32,7.27,53.49,0,0,0,30.87,14.09,7.44,3.64,2.36,52.23,50.16,49.56,38.94,36.85,34.35,8.28,4.05,2.47,3.78,69.84,18.87,1.48,1.17,4.57,39.93,53.54,2,239,0.33,42.79,0.47,246.59,51.62,0.18,0.01,269.21,73.35,0.27,1.16,335.33,0.73,378.02,0.39,0.06,0.07,145.96,7.31,
